image,sku_ground_truth_count,od_ground_truth_count,prediction_count,segmentation_found_count,ocr_found_count,valid_sku_count,duplicate_det_id_count,detection_tp,detection_fp,detection_fn,sku_track_matches,sku_track_misses
1770341131504_0244_1165_11-009.jpg,11,11,36,34,17,17,0,11,25,0,11,0
1770341131504_0244_1186_11-008.jpg,14,15,14,11,7,7,0,12,2,3,11,3
1770341131504_0244_1191_11-007.jpg,29,25,35,34,20,20,0,22,13,3,22,7
1770341131504_0244_1216_11-005.jpg,11,11,45,42,19,19,0,11,34,0,11,0
1770341131504_0244_1220_11-006.jpg,8,9,9,7,5,5,0,5,4,4,5,3
1770341131504_0244_1266_11-004.jpg,16,17,26,21,15,15,0,16,10,1,15,1
1770341131504_0244_1269_11-003.jpg,5,4,20,16,5,5,0,4,16,0,4,1
1770341131504_0244_1292_11-002.jpg,26,26,36,29,21,21,0,23,13,3,24,2
1770341131504_0244_1293_11-001.jpg,22,25,33,31,24,24,0,24,9,1,22,0
1770341315069_0244_1022_12-001.jpg,40,41,91,76,32,32,0,30,61,11,29,11
1770341315069_0244_1048_12-004.jpg,13,9,31,26,7,7,0,3,28,6,3,10
1770341315069_0244_1052_12-003.jpg,85,88,88,78,17,17,0,74,14,14,72,13
1770341315069_0244_1073_12-006.jpg,17,17,18,17,10,10,0,8,10,9,8,9
1770341315069_0244_1077_12-005.jpg,23,30,78,60,8,8,0,17,61,13,17,6
1770341315069_0244_1108_12-007.jpg,48,52,70,65,23,23,0,44,26,8,43,5
1770341315069_0244_1111_12-008.jpg,7,6,23,20,9,9,0,6,17,0,6,1
1770341315069_0244_1138_12-009.jpg,28,28,57,54,5,5,0,24,33,4,25,3
1770341315069_0244_1140_12-010.jpg,18,16,38,37,18,18,0,14,24,2,14,4
1770341315069_0244_1165_12-011.jpg,52,52,78,69,37,37,0,49,29,3,49,3
1770341315069_0244_1166_12-012.jpg,12,10,28,27,12,12,0,9,19,1,9,3
1770341315069_0244_1186_12-013.jpg,18,18,34,28,9,9,0,11,23,7,12,6
1770341315069_0244_1194_12-014.jpg,3,3,17,16,7,7,0,3,14,0,3,0
1770341315069_0244_1220_12-015.jpg,16,19,30,28,13,13,0,17,13,2,15,1
1770341315069_0244_1223_12-016.jpg,13,11,28,25,7,7,0,11,17,0,11,2
1770341315069_0244_1247_12-017.jpg,24,24,64,45,19,19,0,23,41,1,23,1
1770341315069_0244_1248_12-018.jpg,37,36,50,41,20,20,0,34,16,2,33,4
1770341315069_0244_1263_12-019.jpg,26,26,77,56,21,21,0,20,57,6,22,4
1770341315069_0244_1278_12-020.jpg,37,31,49,46,25,25,0,30,19,1,30,7
1770343815150_0244_1015_01-020.jpg,17,18,46,43,7,7,0,18,28,0,17,0
1770343815150_0244_1059_01-018.jpg,20,21,62,55,4,4,0,21,41,0,20,0
1770343815150_0244_1098_01-016.jpg,8,8,61,53,2,2,0,8,53,0,8,0
1770343815150_0244_1143_01-014.jpg,16,16,72,60,2,2,0,16,56,0,16,0
1770343815150_0244_1181_01-012.jpg,27,27,107,84,3,3,0,27,80,0,27,0
1770343815150_0244_1218_01-010.jpg,9,26,109,78,2,2,0,25,84,1,9,0
1770343815150_0244_1254_01-008.jpg,21,21,92,81,3,3,0,21,71,0,21,0
1770343815150_0244_1326_01-004.jpg,9,11,70,53,8,8,0,11,59,0,9,0
1770343815150_0244_1354_01-002.jpg,4,4,33,24,3,3,0,4,29,0,4,0
